,Unnamed: 0,Price_Category,Number of Bedrooms,County,Rent_Price,Land_Price,Population of County,Average_Value_County,Rent_To_Land_Ratio,Average_Value_Bedroom_Count,vat_internal_€m,paye_income_tax_and_usc_€m,self_employed_income_tax_€m,corporation_tax_€m,capital_gains_tax_€m,Net_Income
161,161,Standard,1 to 3 bed,Cork,1180.93,17875,584156,1107.281059,0.066066014,1080.637647,1818.53,2259.48,341.84,8467.08,184.82,60620
162,162,Standard,Two bed,Cork,1179.4,17875,584156,1107.281059,0.06598042,1068.4544,1818.53,2259.48,341.84,8467.08,184.82,60620
163,163,Standard,1 to 3 bed,Cork,1175.45,17875,584156,1107.281059,0.065759441,1080.637647,1818.53,2259.48,341.84,8467.08,184.82,60620
164,164,Standard,1 to 2 bed,Cork,1166.18,17875,584156,1107.281059,0.065240839,991.9007407,1818.53,2259.48,341.84,8467.08,184.82,60620
165,165,Standard,1 to 3 bed,Cork,1165.55,17875,584156,1107.281059,0.065205594,1080.637647,1818.53,2259.48,341.84,8467.08,184.82,60620
166,166,Standard,Two bed,Cork,1164.66,17875,584156,1107.281059,0.065155804,1068.4544,1818.53,2259.48,341.84,8467.08,184.82,60620
167,167,Standard,1 to 3 bed,Cork,1159.4,17875,584156,1107.281059,0.064861538,1080.637647,1818.53,2259.48,341.84,8467.08,184.82,60620
168,168,Standard,All bedrooms,Cork,1148.56,17875,584156,1107.281059,0.064255105,1123.136471,1818.53,2259.48,341.84,8467.08,184.82,60620
169,169,Standard,Three bed,Cork,1148.41,17875,584156,1107.281059,0.064246713,1173.547692,1818.53,2259.48,341.84,8467.08,184.82,60620
170,170,Standard,1 to 2 bed,Cork,1147.75,17875,584156,1107.281059,0.06420979,991.9007407,1818.53,2259.48,341.84,8467.08,184.82,60620
171,171,Standard,Four plus bed,Cork,1136.51,17875,584156,1107.281059,0.063580979,1508.663846,1818.53,2259.48,341.84,8467.08,184.82,60620
172,172,Standard,All bedrooms,Cork,1131.16,17875,584156,1107.281059,0.063281678,1123.136471,1818.53,2259.48,341.84,8467.08,184.82,60620
